,pH,TDS,water_level,DHT_temp,DHT_humidity,water_temp,pH_reducer,add_water,nutrients_adder,humidifier,ex_fan
pH,1.0,-0.2211,0.4403,0.1749,-0.2591,-0.2442,0.7258,0.2699,-0.1616,0.0086,0.0035
TDS,-0.2211,1.0,-0.751,-0.4245,0.4777,0.4051,-0.6417,-0.6964,-0.3776,0.1438,0.0004
water_level,0.4403,-0.751,1.0,0.2259,-0.3044,-0.4487,0.6851,0.595,0.2094,-0.2367,-0.0122
DHT_temp,0.1749,-0.4245,0.2259,1.0,-0.7617,-0.2143,0.4398,0.6541,0.2392,0.0212,0.0167
DHT_humidity,-0.2591,0.4777,-0.3044,-0.7617,1.0,0.2173,-0.5105,-0.6788,-0.2447,-0.1739,-0.012
water_temp,-0.2442,0.4051,-0.4487,-0.2143,0.2173,1.0,-0.3951,-0.3833,-0.1844,0.295,0.0046
pH_reducer,0.7258,-0.6417,0.6851,0.4398,-0.5105,-0.3951,1.0,0.7357,-0.0308,-0.0426,-0.0055
add_water,0.2699,-0.6964,0.595,0.6541,-0.6788,-0.3833,0.7357,1.0,0.3569,-0.128,-0.0112
nutrients_adder,-0.1616,-0.3776,0.2094,0.2392,-0.2447,-0.1844,-0.0308,0.3569,1.0,-0.0005,-0.0053
humidifier,0.0086,0.1438,-0.2367,0.0212,-0.1739,0.295,-0.0426,-0.128,-0.0005,1.0,0.0303
ex_fan,0.0035,0.0004,-0.0122,0.0167,-0.012,0.0046,-0.0055,-0.0112,-0.0053,0.0303,1.0
