rank,actual_pH,pred_pH,abs_err,pH,TDS,water_level,DHT_temp,DHT_humidity,water_temp,pH_reducer,add_water,nutrients_adder,humidifier,ex_fan,prev_pH,dpH_step
1,6.59,5.7443,0.8457,6.59,1322.0,2.0,24.42,78.05,21.51,0.0,0.0,0.0,0.0,0.0,5.76,0.83
2,5.87,5.3715,0.4985,5.87,843.4,2.0,23.6,73.92,22.0,0.0,0.0,0.0,0.0,0.0,5.38,0.49
3,5.97,5.8642,0.1058,5.97,662.5,2.0,23.5,75.58,21.02,0.0,0.0,0.0,0.0,0.0,5.86,0.11
4,5.62,5.7105,0.0905,5.62,1448.76,1.0,23.22,79.58,22.2,0.0,0.0,0.0,0.0,0.0,5.71,-0.09
5,5.69,5.6093,0.0807,5.69,1402.01,1.0,23.35,79.3,22.02,0.0,0.0,0.0,0.0,0.0,5.62,0.07
6,5.66,5.5911,0.0689,5.66,1394.24,1.0,23.4,79.58,22.23,0.0,0.0,0.0,0.0,0.0,5.59,0.07
7,5.72,5.6515,0.0685,5.72,1451.77,1.0,23.2,79.8,21.91,0.0,0.0,0.0,0.0,0.0,5.64,0.08
8,5.71,5.6442,0.0658,5.71,1148.1,1.0,23.3,78.12,21.41,0.0,0.0,0.0,0.0,0.0,5.68,0.03
9,5.96,5.9015,0.0585,5.96,662.71,2.0,23.5,75.15,22.16,0.0,0.0,0.0,0.0,0.0,5.97,-0.01
10,5.64,5.5817,0.0583,5.64,1393.33,1.0,23.4,79.57,22.07,0.0,0.0,0.0,0.0,0.0,5.55,0.09
11,5.58,5.5224,0.0576,5.58,1215.32,1.0,24.1,79.62,21.74,0.0,0.0,0.0,0.0,0.0,5.55,0.03
12,5.61,5.5536,0.0564,5.61,1240.27,1.0,24.1,79.87,21.36,0.0,0.0,0.0,0.0,0.0,5.55,0.06
13,5.62,5.6764,0.0564,5.62,1148.74,1.0,23.24,78.98,21.08,0.0,0.0,0.0,0.0,0.0,5.71,-0.09
14,5.67,5.6139,0.0561,5.67,1333.08,1.0,23.6,79.97,20.9,0.0,0.0,0.0,0.0,0.0,5.62,0.05
15,5.92,5.9758,0.0558,5.92,1125.71,2.0,23.8,76.89,21.5,0.0,0.0,0.0,0.0,0.0,5.96,-0.04
16,5.66,5.6049,0.0551,5.66,1130.95,1.0,24.6,75.7,22.03,0.0,0.0,0.0,0.0,0.0,5.62,0.04
17,5.97,5.9153,0.0547,5.97,1410.92,2.0,25.57,71.12,22.7,0.0,0.0,0.0,0.0,0.0,5.95,0.02
18,5.73,5.6753,0.0547,5.73,1310.68,1.0,24.6,78.17,20.84,0.0,0.0,0.0,0.0,0.0,5.68,0.05
19,5.71,5.656,0.054,5.71,1397.01,1.0,24.68,78.3,21.7,0.0,0.0,0.0,0.0,0.0,5.67,0.04
20,6.02,5.9663,0.0537,6.02,813.83,2.0,23.9,73.17,20.26,0.0,0.0,0.0,0.0,0.0,6.01,0.01
